"main_sound","level","hanja","meaning","radical","strokes","total_strokes","unicode_decimal","unicode_hex","unicode_escape"
"근","1급","饉","[[['주릴'], ['근']]]","食","11","20","39241","9949","U+9949"
"근","1급","覲","[[['뵐'], ['근']]]","見","11","18","35250","89B2","U+89B2"
"근","특급Ⅱ","劤","[[['힘셀'], ['근']]]","力","4","6","21156","52A4","U+52A4"
"근","특급Ⅱ","芹","[[['미나리'], ['근']]]","艸","4","8","33465","82B9","U+82B9"
"근","특급Ⅱ","菫","[[['씀바귀'], ['근']]]","艸","8","12","33771","83EB","U+83EB"
"근","특급Ⅱ","懃","[[['은근할'], ['근']]]","心","13","17","25027","61C3","U+61C3"
"근","특급","漌","[[['맑을'], ['근']]]","水","11","14","28428","6F0C","U+6F0C"
"근","특급","墐","[[['묻을'], ['근']]]","土","11","14","22672","5890","U+5890"
"금","8급","金","[[['쇠'], ['금']], [['성(姓)'], ['김']]]","金","0","8","63754","F90A","U+F90A"
"금","6급Ⅱ","今","[[['이제'], ['금']]]","人","2","4","20170","4ECA","U+4ECA"
"금","4급Ⅱ","禁","[[['금할'], ['금']]]","示","8","13","31105","7981","U+7981"
"금","3급Ⅱ","禽","[[['새'], ['금']]]","禸","8","13","31165","79BD","U+79BD"
"금","3급Ⅱ","錦","[[['비단'], ['금']]]","金","8","16","37670","9326","U+9326"
"금","3급Ⅱ","琴","[[['거문고'], ['금']]]","玉","8","12","29748","7434","U+7434"
"금","1급","襟","[[['옷깃'], ['금']]]","衣","13","18","35167","895F","U+895F"
"금","1급","擒","[[['사로잡을'], ['금']]]","手","13","16","25810","64D2","U+64D2"
"금","1급","衾","[[['이불'], ['금']]]","衣","4","10","34942","887E","U+887E"
"금","특급Ⅱ","昑","[[['밝을'], ['금']]]","日","4","8","26129","6611","U+6611"
"금","특급Ⅱ","檎","[[['능금'], ['금']]]","木","13","17","27278","6A8E","U+6A8E"
"금","특급Ⅱ","芩","[[['풀이름'], ['금']]]","艸","4","8","33449","82A9","U+82A9"
"금","특급Ⅱ","衿","[[['옷깃'], ['금']]]","衣","4","9","34943","887F","U+887F"
"금","특급Ⅱ","妗","[[['외숙모'], ['금']]]","女","4","7","22935","5997","U+5997"
"급","6급Ⅱ","急","[[['급할'], ['급']]]","心","5","9","24613","6025","U+6025"
"급","6급","級","[[['등급'], ['급']]]","糸","4","10","32026","7D1A","U+7D1A"
"급","5급","給","[[['줄'], ['급']]]","糸","6","12","32102","7D66","U+7D66"
"급","3급Ⅱ","及","[[['미칠'], ['급']]]","又","2","4","21450","53CA","U+53CA"
"급","1급","扱","[[['거둘'], ['급']], [['꽂을'], ['삽']]]","手","4","7","25201","6271","U+6271"
"급","1급","汲","[[['물길을'], ['급']]]","水","4","7","27762","6C72","U+6C72"
"급","특급Ⅱ","伋","[[['생각할'], ['급']]]","人","4","6","20235","4F0B","U+4F0B"
"급","특급","岌","[[['산높을'], ['급']]]","山","4","7","23692","5C8C","U+5C8C"
"긍","3급","肯","[[['즐길'], ['긍']]]","肉","4","8","32943","80AF","U+80AF"
"긍","2급","兢","[[['떨릴'], ['긍']]]","儿","12","14","20834","5162","U+5162"
"긍","1급","矜","[[['자랑할'], ['긍']]]","矛","4","9","30684","77DC","U+77DC"
"긍","1급","亘","[[['뻗칠'], ['긍']], [['베풀'], ['선']]]","二","4","6","20120","4E98","U+4E98"
"긍","특급","亙","[[['뻗칠'], ['긍']]]","二","4","6","20121","4E99","U+4E99"
"기","7급Ⅱ","氣","[[['기운'], ['기']]]","气","6","10","27683","6C23","U+6C23"
"기","7급Ⅱ","記","[[['기록할'], ['기']]]","言","3","10","35352","8A18","U+8A18"
"기","7급","旗","[[['기'], ['기']]]","方","10","14","26071","65D7","U+65D7"
"기","5급Ⅱ","基","[[['터'], ['기']]]","土","8","11","22522","57FA","U+57FA"
"기","5급Ⅱ","己","[[['몸'], ['기']]]","己","0","3","24049","5DF1","U+5DF1"
"기","5급","汽","[[['물끓는김'], ['기']]]","水","4","7","27773","6C7D","U+6C7D"
"기","5급","期","[[['기약할'], ['기']]]","月","8","12","26399","671F","U+671F"
"기","5급","技","[[['재주'], ['기']]]","手","4","7","25216","6280","U+6280"
"기","4급Ⅱ","器","[[['그릇'], ['기']]]","口","13","16","22120","5668","U+5668"
"기","4급Ⅱ","起","[[['일어날'], ['기']]]","走","3","10","36215","8D77","U+8D77"
"기","4급","機","[[['틀'], ['기']]]","木","12","16","27231","6A5F","U+6A5F"
"기","4급","寄","[[['부칠'], ['기']]]","宀","8","11","23492","5BC4","U+5BC4"
"기","4급","奇","[[['기특할'], ['기']]]","大","5","8","22855","5947","U+5947"
"기","4급","紀","[[['벼리'], ['기']]]","糸","3","9","32000","7D00","U+7D00"
"기","3급Ⅱ","騎","[[['말탈'], ['기']]]","馬","8","18","39438","9A0E","U+9A0E"
"기","3급Ⅱ","祈","[[['빌'], ['기']]]","示","4","9","31048","7948","U+7948"
"기","3급Ⅱ","畿","[[['경기(京畿)'], ['기']]]","田","10","15","30079","757F","U+757F"
"기","3급Ⅱ","其","[[['그'], ['기']]]","八","6","8","20854","5176","U+5176"
"기","3급Ⅱ","企","[[['꾀할'], ['기']]]","人","4","6","20225","4F01","U+4F01"
"기","3급","旣","[[['이미'], ['기']]]","无","7","11","26083","65E3","U+65E3"
"기","3급","忌","[[['꺼릴'], ['기']]]","心","3","7","24524","5FCC","U+5FCC"
"기","3급","棄","[[['버릴'], ['기']]]","木","8","12","26820","68C4","U+68C4"
"기","3급","欺","[[['속일'], ['기']]]","欠","8","12","27450","6B3A","U+6B3A"
"기","3급","飢","[[['주릴'], ['기']]]","食","2","11","39138","98E2","U+98E2"
"기","3급","豈","[[['어찌'], ['기']]]","豆","3","10","35912","8C48","U+8C48"
"기","3급","幾","[[['몇'], ['기']]]","幺","9","12","24190","5E7E","U+5E7E"
"기","2급","棋","[[['바둑'], ['기']]]","木","8","12","26827","68CB","U+68CB"
"기","2급","冀","[[['바랄'], ['기']]]","八","14","16","20864","5180","U+5180"
"기","2급","岐","[[['갈림길'], ['기']]]","山","4","7","23696","5C90","U+5C90"
"기","2급","驥","[[['천리마'], ['기']]]","馬","16","26","39525","9A65","U+9A65"
"기","2급","耆","[[['늙을'], ['기']]]","老","4","10","32774","8006","U+8006"
"기","2급","麒","[[['기린'], ['기']]]","鹿","8","19","40594","9E92","U+9E92"
"기","2급","沂","[[['물이름'], ['기']]]","水","4","7","27778","6C82","U+6C82"
"기","2급","淇","[[['물이름'], ['기']]]","水","8","11","28103","6DC7","U+6DC7"
"기","2급","琦","[[['옥이름'], ['기']]]","玉","8","12","29734","7426","U+7426"
"기","2급","琪","[[['아름다운옥'], ['기']]]","玉","8","12","29738","742A","U+742A"
"기","2급","璣","[[['별이름'], ['기']]]","玉","12","16","29859","74A3","U+74A3"
"기","2급","箕","[[['키'], ['기']]]","竹","8","14","31637","7B95","U+7B95"
"기","2급","騏","[[['준마'], ['기']]]","馬","8","18","39439","9A0F","U+9A0F"
"기","1급","譏","[[['비웃을'], ['기']]]","言","12","19","35663","8B4F","U+8B4F"
"기","1급","肌","[[['살[膚肉]'], ['기']]]","肉","2","6","32908","808C","U+808C"
"기","1급","綺","[[['비단'], ['기']]]","糸","8","14","32186","7DBA","U+7DBA"
"기","1급","杞","[[['구기자(枸杞子)'], ['기']]]","木","3","7","26462","675E","U+675E"
"기","1급","朞","[[['돌'], ['기']]]","月","8","12","26398","671E","U+671E"
"기","1급","崎","[[['험할'], ['기']]]","山","8","11","23822","5D0E","U+5D0E"
"기","1급","妓","[[['기생'], ['기']]]","女","4","7","22931","5993","U+5993"
"기","1급","伎","[[['재간'], ['기']]]","人","4","6","20238","4F0E","U+4F0E"
